ADDRESS;ORIGINAL_LAT;ORIGINAL_LNG
Архангельская область,Котлас г.,ул. Мира, д. 18, ТЦ Столица;61.235393;46.643242
Архангельская область,Котлас г.,п. Вычегодский, ул. Театральная, 15-а;61.249928;46.879724
Архангельская область,Котлас г.,ул. Кузнецова, д. 5;61.2453;46.6381
Архангельская область,Новодвинск г.,ул. Пролетарская, д. 61;64.4119;40.8039
Архангельская область,Котлас г.,пр. Мира, д. 38;61.245;46.6474
Архангельская область,Котлас г.,мкрн Лименда, ул. Советская, д. 54;61.2738;46.6907
Архангельская область,Коряжма г.,пр-т Ленина, д. 36;61.3114;47.1903
Архангельская область,Коряжма г.,ул. Советская, д. 8А;61.309;47.191269
Архангельская область,Котлас г.,проспект Мира, 39;61.246124;46.645066
Архангельская область,Архангельск г.,Ленинградский проспект, д. 38;64.52422;40.601758
Архангельская область,Архангельск г.,пр-т Троицкий, д. 17;64.532316;40.528249
Архангельская область,Архангельск г.,ул. Урицкого, д. 45, корп. 3;64.537386;40.565035
Архангельская область,Архангельск г.,ул. Розинга, д.10;64.558615;40.559914
Архангельская область,Архангельск г.,ул. Советская, д. 25;64.578769;40.513094
Архангельская область,Архангельск г.,ул.Выучейского, д.98;64.545258;40.552737
Архангельская область,Архангельск г.,ул.Воскресенская, д.19;64.541724;40.529255
Архангельская область,Архангельск г.,проспект Троицкий, д.121, корпус 1;64.55569;40.522167
Архангельская область,Архангельск г.,проспект Обводный канал, д.9, корпус 3;64.536412;40.558342
Архангельская область,СЕВЕРОДВИНСК,ул.Первомайская, д.59;64.562563;39.789124
Архангельская область,СЕВЕРОДВИНСК,ул.Ломоносова, д.56а;64.556509;39.816909
Архангельская область,СЕВЕРОДВИНСК,ул.Ломоносова, д.74;64.554735;39.805617
Архангельская область,Архангельск г.,проспект Московский, д.46;64.530953;40.6169
Архангельская область,СЕВЕРОДВИНСК,улица Арктическая, д. 6;64.553352;39.766962
Архангельская область,Новодвинск г.,ул.Мира, д.5, корп.3;64.418597;40.789488
